gateway_id	map_id	map_name	show_time	count_char_id
1	1	蜀山两仪阵	2017-08-06 00:00:00	116
1	1	蜀山两仪阵	2017-08-13 00:00:00	138
1	1	蜀山两仪阵	2017-08-20 00:00:00	140
1	1	蜀山两仪阵	2017-08-27 00:00:00	112
1	2	百鸟朝凤阵	2017-08-05 00:00:00	84
1	2	百鸟朝凤阵	2017-08-06 00:00:00	88
1	2	百鸟朝凤阵	2017-08-12 00:00:00	92
1	2	百鸟朝凤阵	2017-08-13 00:00:00	105
1	2	百鸟朝凤阵	2017-08-19 00:00:00	93
1	2	百鸟朝凤阵	2017-08-20 00:00:00	94
1	2	百鸟朝凤阵	2017-08-26 00:00:00	88
1	2	百鸟朝凤阵	2017-08-27 00:00:00	68
1	4	玉无心传一	2017-08-02 00:00:00	2
1	4	玉无心传一	2017-08-03 00:00:00	4
1	4	玉无心传一	2017-08-06 00:00:00	2
1	4	玉无心传一	2017-08-07 00:00:00	2
1	4	玉无心传一	2017-08-08 00:00:00	1
1	4	玉无心传一	2017-08-10 00:00:00	2
1	4	玉无心传一	2017-08-12 00:00:00	2
1	4	玉无心传一	2017-08-13 00:00:00	2
1	4	玉无心传一	2017-08-14 00:00:00	1
1	4	玉无心传一	2017-08-17 00:00:00	1
1	4	玉无心传一	2017-08-18 00:00:00	1
1	4	玉无心传一	2017-08-19 00:00:00	2
1	4	玉无心传一	2017-08-20 00:00:00	1
1	4	玉无心传一	2017-08-22 00:00:00	1
1	4	玉无心传一	2017-08-23 00:00:00	1
1	4	玉无心传一	2017-08-27 00:00:00	1
1	4	玉无心传一	2017-08-30 00:00:00	2
1	4	玉无心传一	2017-08-31 00:00:00	1
1	6	蜀山斗剑	2017-08-01 00:00:00	64
1	6	蜀山斗剑	2017-08-02 00:00:00	61
1	6	蜀山斗剑	2017-08-03 00:00:00	64
1	6	蜀山斗剑	2017-08-04 00:00:00	106
1	6	蜀山斗剑	2017-08-05 00:00:00	42
1	6	蜀山斗剑	2017-08-06 00:00:00	78
1	6	蜀山斗剑	2017-08-07 00:00:00	72
1	6	蜀山斗剑	2017-08-08 00:00:00	64
1	6	蜀山斗剑	2017-08-09 00:00:00	100
1	6	蜀山斗剑	2017-08-10 00:00:00	50
1	6	蜀山斗剑	2017-08-11 00:00:00	103
1	6	蜀山斗剑	2017-08-12 00:00:00	14
1	6	蜀山斗剑	2017-08-13 00:00:00	81
1	6	蜀山斗剑	2017-08-14 00:00:00	106
1	6	蜀山斗剑	2017-08-15 00:00:00	89
1	6	蜀山斗剑	2017-08-16 00:00:00	46
1	6	蜀山斗剑	2017-08-17 00:00:00	76
1	6	蜀山斗剑	2017-08-18 00:00:00	102
1	6	蜀山斗剑	2017-08-19 00:00:00	82
1	6	蜀山斗剑	2017-08-20 00:00:00	40
1	6	蜀山斗剑	2017-08-21 00:00:00	61
1	6	蜀山斗剑	2017-08-22 00:00:00	44
1	6	蜀山斗剑	2017-08-23 00:00:00	68
1	6	蜀山斗剑	2017-08-24 00:00:00	42
1	6	蜀山斗剑	2017-08-25 00:00:00	66
1	6	蜀山斗剑	2017-08-26 00:00:00	62
1	6	蜀山斗剑	2017-08-27 00:00:00	20
1	6	蜀山斗剑	2017-08-28 00:00:00	63
1	6	蜀山斗剑	2017-08-29 00:00:00	92
1	6	蜀山斗剑	2017-08-30 00:00:00	70
1	6	蜀山斗剑	2017-08-31 00:00:00	93
1	8	天门剑阵·80级	2017-08-01 00:00:00	1
1	8	天门剑阵·80级	2017-08-02 00:00:00	26
1	8	天门剑阵·80级	2017-08-03 00:00:00	8
1	8	天门剑阵·80级	2017-08-04 00:00:00	13
1	8	天门剑阵·80级	2017-08-05 00:00:00	12
1	8	天门剑阵·80级	2017-08-06 00:00:00	18
1	8	天门剑阵·80级	2017-08-07 00:00:00	22
1	8	天门剑阵·80级	2017-08-09 00:00:00	19
1	8	天门剑阵·80级	2017-08-11 00:00:00	26
1	8	天门剑阵·80级	2017-08-12 00:00:00	2
1	8	天门剑阵·80级	2017-08-13 00:00:00	54
1	8	天门剑阵·80级	2017-08-14 00:00:00	5
1	8	天门剑阵·80级	2017-08-15 00:00:00	6
1	8	天门剑阵·80级	2017-08-16 00:00:00	26
1	8	天门剑阵·80级	2017-08-18 00:00:00	33
1	8	天门剑阵·80级	2017-08-19 00:00:00	5
1	8	天门剑阵·80级	2017-08-20 00:00:00	25
1	8	天门剑阵·80级	2017-08-21 00:00:00	28
1	8	天门剑阵·80级	2017-08-23 00:00:00	19
