157001, 203295, 292020001.sitem, 1, 8, 1506680186
157001, 123512, 232001002.sitem, 1, 5000, 1506682367
157001, 107413, 312109051.sitem, 1, 800, 1506682330
157001, 720920, 310610561.sitem, 1, 50, 1506760996
157001, 161331, 311513541.sitem, 1, 2, 1505619851
157001, 107413, 310509551.sitem, 1, 500, 1506682334
157001, 4151689, 245001001.sitem, 1, 10, 1506687863
157001, 2220282, 311113041.sitem, 1, 4, 1505871840
157001, 3943649, 311313041.sitem, 1, 6, 1506020364
157001, 3943649, 034080014.sitem, 1, 3, 1506020337
157001, 3943649, 034080014.sitem, 1, 3, 1506020344
157001, 3943649, 034080014.sitem, 1, 3, 1506020350
157001, 3943649, 034080014.sitem, 1, 3, 1506020340
157001, 3943649, 311313041.sitem, 1, 5, 1506020357
157001, 3665740, 311512541.sitem, 1, 3, 1506681725
157001, 3665740, 311313041.sitem, 1, 5, 1506587295
157001, 3665740, 311212541.sitem, 1, 3, 1506681729
157001, 123512, 056060094.sitem, 1, 220, 1506682369
157001, 2220282, 311512541.sitem, 1, 3, 1505871836
157001, 181017, 122001029.sitem, 1, 200, 1506677539
157001, 116363, 053020132.sitem, 1, 6, 1506679561
157001, 116363, 053020178.sitem, 1, 20, 1506679572
157001, 116363, 053020208.sitem, 2, 20, 1506688044
157001, 2747361, 310411061.sitem, 1, 10, 1506677440
157001, 2747361, 310811061.sitem, 1, 10, 1506677436
157001, 2747361, 310608561.sitem, 1, 10, 1506677438
157001, 2747361, 053020274.sitem, 1, 3, 1506677434
157001, 181017, 034040007.sitem, 2, 5, 1506677537
157001, 2909060, 311208561.sitem, 1, 10, 1506680925
157001, 1939043, 332000102.sitem, 4, 40, 1506131874
157001, 2909060, 310610561.sitem, 1, 20, 1506680915
157001, 203295, 292020003.sitem, 1, 4, 1506680189
157001, 2506844, 020001053.sitem, 3, 999, 1504306911
157001, 123512, 056060016.sitem, 1, 3000, 1506682370
157001, 2583873, 056060015.sitem, 1, 4444, 1506682349
157001, 2583873, 310308061.sitem, 1, 3333, 1506682350
157001, 2583873, 020001063.sitem, 11, 2222, 1506682352
157001, 2909060, 310608561.sitem, 1, 10, 1506680917
157001, 410951, 291001002.sitem, 7, 2, 1504628064
