dest_user_id	dest_role_id	sheet_name	count	total_price	value
1903646176	9233949	020001063.sitem	18	148	灵宠神兽·碎片
1903646176	9233949	020001078.sitem	38	97	赤炼神铁
1903646176	9233949	020001079.sitem	99	10	灵根叶鞘
1903646176	9233949	034060002.sitem	3	44	大悲金水
1903646176	9233949	034060008.sitem	3	342	七煞玄阴
1903646176	9233949	035060001.sitem	346	31	圣·玄女之泪
1903646176	9233949	035060006.sitem	116	364	圣·毕方之足
1903646176	9233949	036060004.sitem	213	1402	神·麒麟角
1903646176	9233949	039001006.sitem	1	2	初级渐悟丹
1903705143	9405580	020001078.sitem	64	9	赤炼神铁
1903705143	9405580	020001079.sitem	10	150	灵根叶鞘
1903705143	9405580	020001117.sitem	2	2	神·白虎牙碎片
1903705143	9405580	034080003.sitem	1	9	烟罗神水
1903705143	9405580	035060001.sitem	495	45	圣·玄女之泪
1903705143	9405580	035060006.sitem	228	28	圣·毕方之足
1903705143	9405580	036060004.sitem	106	13	神·麒麟角
1903705143	9821364	035060006.sitem	6	6	圣·毕方之足
1903705143	9821364	036060004.sitem	8	2	神·麒麟角
1903714026	9433099	020001063.sitem	6	52	灵宠神兽·碎片
1903714026	9433099	020001077.sitem	8	2	真言文典配方
1903714026	9433099	020001078.sitem	5	2	赤炼神铁
1903714026	9433099	035060006.sitem	29	10	圣·毕方之足
1903714026	9433099	036060004.sitem	19	2	神·麒麟角
1903714026	9965619	035060006.sitem	1	200	圣·毕方之足
1903714026	10030094	034040013.sitem	2	5	九天玄铁
1903714026	10030094	035060006.sitem	2	4	圣·毕方之足
1903714026	10092369	033120017.sitem	1	2	幻星晶魄
1903714026	10092369	034040013.sitem	2	2	九天玄铁
1903714026	10092369	036060004.sitem	29	5	神·麒麟角
1903714026	10136843	020001063.sitem	4	2	灵宠神兽·碎片
1903714026	10136843	020001069.sitem	5	710	真气瓶·大（满）
1903714026	10136843	020001077.sitem	1	40	真言文典配方
1903714026	10136843	020001078.sitem	37	51	赤炼神铁
1903714026	10136843	020001079.sitem	1	24	灵根叶鞘
1903714026	10136843	020001116.sitem	126	65	神·玄武甲碎片
1903714026	10136843	020001117.sitem	40	27	神·白虎牙碎片
1903714026	10136843	033120006.sitem	99	9	流光镜玉
1903714026	10136843	033120013.sitem	18	2	六阳神火
1903714026	10136843	033120017.sitem	100	11	幻星晶魄
1903714026	10136843	033120020.sitem	14	2	炽阳炎魄
1903714026	10136843	033120022.sitem	9	2	元磁精气
1903714026	10136843	033140007.sitem	1	40	天魔皇骨
1903714026	10136843	033140008.sitem	62	6	星辉冷玉
1903714026	10136843	033160015.sitem	48	4	阎王冥火
1903714026	10136843	034040001.sitem	332	31	天一真水
1903714026	10136843	034040007.sitem	14	2	五色冰纨
1903714026	10136843	034040013.sitem	14	423	九天玄铁
1903714026	10136843	034060002.sitem	297	27	大悲金水
1903714026	10136843	034080009.sitem	50	5	三千佛莲
1903714026	10136843	034080014.sitem	40	33	太白元精
1903714026	10136843	034120015.sitem	1	350	太乙精金
1903714026	10136843	035060006.sitem	391	1637	圣·毕方之足
1903714026	10136843	036060004.sitem	280	46	神·麒麟角
1903714026	10136843	036060007.sitem	8	902	神·玄武甲
1903714026	10136843	036100008.sitem	1	50	神·白虎牙
1903714026	10139492	020001077.sitem	1	13	真言文典配方
1903714026	10139492	020001116.sitem	28	2	神·玄武甲碎片
1903714026	10139492	020001117.sitem	6	2	神·白虎牙碎片
1903714026	10139492	034040013.sitem	1	320	九天玄铁
1903714026	10139492	036060004.sitem	64	5	神·麒麟角
1903719076	9450582	020001063.sitem	52	892	灵宠神兽·碎片
1903719076	9450582	020001079.sitem	3	120	灵根叶鞘
1903719076	9450582	020001116.sitem	61	2	神·玄武甲碎片
1903719076	9450582	033120022.sitem	9	2056	元磁精气
1903719076	9450582	033160016.sitem	1	8	南明离火
1903719076	9450582	034080003.sitem	56	5	烟罗神水
1903719076	9450582	035060006.sitem	105	27	圣·毕方之足
1903719076	9450582	036060004.sitem	18	2	神·麒麟角
1903719076	9450582	036100008.sitem	1	2200	神·白虎牙
1903722542	9461679	020001063.sitem	164	29	灵宠神兽·碎片
1903722542	9461679	020001078.sitem	120	214	赤炼神铁
1903722542	9461679	020001079.sitem	353	466	灵根叶鞘
1903722542	9461679	020001116.sitem	77	508	神·玄武甲碎片
1903722542	9461679	034040007.sitem	1	300	五色冰纨
1903722542	9461679	034040013.sitem	3	2	九天玄铁
