117176,20,1
122835,1,1
129565,1,1
139700,5,1
139789,7,1
140206,1,1
147871,16,1
148367,1,1
182653,12,1
188201,6,1
199750,12,1
208877,1,1
214443,4,1
216539,12,247001
216680,1,247001
216729,1,247001
217183,6,1
217554,19,153002
218411,12,146001
218736,12,153001
218955,12,240001
219280,11,146001
219854,16,247001
220354,5,250001
221311,8,247001
221469,114,153001
221557,8,146001
221575,12,240001
221717,1,240001
221902,5,247001
222002,4,247001
222508,16,240001
222544,6,247001
223027,11,240001
223120,27,247001
223960,12,153001
224113,12,153001
225222,5,1
225460,12,250001
225621,12,1
226013,11,146001
226336,12,146001
226719,25,247001
227762,11,247001
228117,1,1
230104,12,240001
230870,12,240001
231174,2,247001
231364,1,247001
233416,8,1
236126,66,247001
236899,12,240001
236923,4,146001
237025,2,1
237245,12,153002
237356,10,247001
238268,15,247001
238362,2,153002
239799,12,241001
240611,7,1
240666,12,146001
242826,12,240001
243438,11,146001
245065,6,247001
245780,7,247001
248062,7,247001
248534,12,146001
248889,2,1
249276,10,146001
250415,2,1
251323,11,146001
252760,16,241001
253325,2,250001
253888,12,153001
253987,30,1
255469,12,241001
257580,12,240001
257690,2,153001
258273,35,153001
258477,12,146001
259799,3,153002
262017,13,153001
262030,3,146001
263545,12,1
263585,7,1
263760,1,1
266379,3,247001
266795,37,247001
267230,1,153001
268069,20,153001
268945,7,247001
271137,27,247001
273290,12,153002
277946,12,241001
279653,5,241001
281008,12,1
282801,2,1
284277,1,250001
284288,12,146001
285081,6,240001
285825,13,1
286204,10,240001
286251,10,1
286272,9,1
287588,9,146001
288127,12,1
288164,2,1
289323,18,1
289699,14,1
291444,12,153001
294534,14,153001
299475,12,247001
301841,2,247001
302762,10,146001
304110,5,247001
308203,27,241001
309106,12,240001
310205,1,146001
310732,3,146001
310774,12,146001
311637,12,247001
313104,12,146001
313697,12,247001
315408,8,153002
317507,7,247001
318109,28,1
320382,16,1
320450,15,1
320878,12,247001
323298,12,1
325757,12,1
328200,63,146001
328309,12,240001
329634,12,153001
330111,11,146001
331269,12,1
331446,24,1
331599,12,1
331841,9,250001
335965,5,1
338818,12,240001
340346,12,1
341395,5,1
341830,12,250001
343573,12,241001
345445,16,240001
346726,8,247001
350332,12,153001
357426,2,153001
360560,43,1
362286,8,146001
363274,12,1
365837,7,153001
366144,5,146001
366404,12,153001
369356,8,240001
371255,11,153001
372119,8,146001
372849,131,247001
373552,9,1
376141,6,153002
378137,12,240001
380172,2,247001
387450,3,247001
387897,77,1
391164,12,153001
393574,11,241001
399872,50,250001
400621,5,1
401379,4,240002
402234,18,1
402376,1,1
402645,6,240002
407988,12,153002
408645,3,247001
409956,1,250001
411734,12,1
411740,12,1
415697,14,1
416081,1,146001
417397,5,240002
424749,1,1
424859,4,146002
424895,10,153002
425342,12,153002
426034,12,241001
426784,4,153002
427966,9,1
431827,2,1
432570,12,250001
432803,5,1
434183,12,241001
436456,1,240002
437488,5,247001
439135,2,1
440105,2,1
441838,5,153001
443888,11,240002
454108,1,1
457048,10,241001
458240,5,240002
459655,3,1
460915,12,240002
461540,9,247001
462639,11,240001
463586,28,247001
466243,37,247001
474543,11,1
478214,12,247001
482233,3,250001
494175,9,247001
494472,3,240001
495799,7,10
501695,7,10
502026,3,1
503233,11,240002
504497,10,1
508407,79,240001
511324,2,153002
512725,14,153002
514558,12,153001
519101,11,153001
519214,2,10
520478,16,1
521510,12,1
523145,2,1
523946,16,153001
524527,12,241001
525628,11,1
527601,2,1
527969,9,250001
531559,9,153001
532383,6,241001
542292,12,146001
543911,32,153002
544229,2,153002
545800,12,1
546766,6,153002
549060,10,1
550324,50,153002
550573,11,247001
554126,15,1
556142,1,153001
556693,12,1
565409,4,1
566483,11,1
568844,22,247001
569193,6,1
572524,2,250001
574326,12,10
581333,3,1
583601,10,146001
583812,3,250001
584961,12,1
607718,13,153001
609399,8,1
611096,12,1
613943,8,10
615395,12,241001
625175,1,1
625550,24,241001
627786,14,240002
634965,1,247001
644815,12,241001
648717,12,10
654007,12,10
659225,18,1
659504,16,10
659577,2,10
662725,6,1
664635,12,153001
665172,6,153001
665554,4,247001
665617,1,241001
666966,3,250001
667201,8,153002
673308,12,1
676832,3,153001
680609,8,153001
683448,12,10
684816,12,10
687639,12,250001
689836,3,146001
690385,10,10
690754,1,1
699555,2,250001
700911,12,1
705563,2,10
705728,3,1
706075,11,153005
707268,2,153002
708268,78,10
710552,2,10
710602,12,10
711021,51,10
712212,1,240002
714109,31,250001
717367,42,250001
721123,43,241001
722159,2,153002
725099,7,247001
726866,12,10
727598,1,1
730499,12,10
739923,3,240002
740457,9,153005
741587,13,241001
747611,10,153005
747840,1,10
749700,10,10
750075,17,10
751889,12,10
752048,12,153005
752257,12,250001
753650,12,153005
754086,9,1
755319,11,153005
758188,11,10
758379,12,1
760023,12,153005
762273,13,10
767804,18,10
769265,12,153005
771170,20,10
773485,9,153005
775724,9,1
776781,2,153005
776922,2,153001
778581,18,10
782215,4,153005
782349,3,250001
787646,33,153002
788440,5,1
791674,12,153005
794994,4,247001
795264,10,153005
801718,62,146005
806263,12,153005
810751,2,146005
814366,9,10
817853,2,250001
820573,11,153005
822483,3,153001
822606,8,1
823581,1,10
825945,10,153005
826953,12,146005
832873,12,1
835491,12,1
837694,1,1
838053,1,153005
838379,12,247001
842835,12,10
843172,1,1
844793,11,1
846511,1,1
847705,7,146005
847917,87,1
849479,6,153002
854657,1,1
855354,1,1
855409,2,10
859787,4,1
862960,9,10
863771,11,1
864243,12,153005
870243,1,10
871074,8,1
872138,12,1
876020,12,247001
881864,7,146001
884391,12,247001
887519,8,250001
887954,11,1
889147,3,1
889329,9,1
891127,2,1
891866,5,1
891890,5,1
891994,6,10
904082,11,153002
906235,8,10
907641,11,247001
907845,3,10
908624,12,1
909127,13,247001
909724,4,1
910501,12,1
914449,6,153002
916932,4,10
918026,8,1
919694,9,1
920462,13,1
921678,4,1
932182,18,153002
934460,4,240001
934639,8,1
936009,2,1
936361,12,153001
943227,1,51
945201,12,51
946111,10,1
947310,8,153002
948096,2,51
949543,6,1
