gateway_id	role_id	mount_level	immortal_level	immortal_star	evil_level	evil_star
146086	9821854	1	1	0	1	0
146086	9821855	1	1	0	1	0
146086	9822175	1	1	0	1	0
146086	9822176	1	1	0	1	0
146086	9822177	1	1	0	1	0
146086	9822178	1	1	0	1	0
146086	9822179	1	1	0	1	0
146086	9822180	1	1	0	1	0
146086	9822181	1	1	0	1	0
146086	9822182	1	1	0	1	0
146086	9822183	1	1	0	1	0
146086	9822184	1	1	0	1	0
146086	9822185	1	1	0	1	0
146086	9822186	1	1	0	1	0
146086	9822764	1	1	0	1	0
146086	9822765	1	1	0	1	0
146086	9822766	1	1	0	1	0
146086	9822767	1	1	0	1	0
146086	9822772	1	1	0	1	0
146086	9822773	1	1	0	1	0
146086	9822774	1	1	0	1	0
146086	9822775	1	1	0	1	0
146086	9822776	1	1	0	1	0
146086	9822777	1	1	0	1	0
146086	9822778	1	1	0	1	0
146086	9822779	1	1	0	1	0
146086	9822907	1	1	0	1	0
146086	9825944	1	1	0	1	0
146086	9838664	1	1	0	1	0
146086	9849961	1	1	0	1	0
146086	9849962	1	1	0	1	0
146086	9849963	1	1	0	1	0
146086	9849964	1	1	0	1	0
146086	9849965	1	1	0	1	0
146086	9849966	1	1	0	1	0
146086	9849967	1	1	0	1	0
146086	9849968	1	1	0	1	0
146086	9849970	1	1	0	1	0
146086	9849971	1	1	0	1	0
146086	9849972	1	1	0	1	0
146086	9849973	1	1	0	1	0
146086	9849994	1	1	0	1	0
146086	9849995	1	1	0	1	0
146086	9849996	1	1	0	1	0
146086	9849997	1	1	0	1	0
146086	9849998	1	1	0	1	0
146086	9849999	1	1	0	1	0
146086	9850000	1	1	0	1	0
146086	9850001	1	1	0	1	0
146086	9850002	1	1	0	1	0
146086	9850003	1	1	0	1	0
146086	9850004	1	1	0	1	0
146086	9850005	1	1	0	1	0
146086	9868922	1	1	0	1	0
146086	9873342	1	1	0	1	0
146086	9884780	1	1	0	1	0
146086	10054995	1	1	0	1	0
146086	10199604	1	1	0	1	0
146086	10484084	1	1	0	1	0
146086	10500460	1	1	0	1	0
146086	10558099	1	1	0	1	0
146086	10568356	1	1	0	1	0
146086	10574773	1	1	0	1	0
146086	10582263	1	1	0	1	0
146086	10585589	1	1	0	1	0
146086	10588628	1	1	0	1	0
146086	9861148	6	1	0	1	0
146086	10481283	11	1	0	1	0
146086	10352741	14	1	0	1	0
146086	9828651	16	1	0	1	0
146086	9851000	22	1	0	1	0
146086	9833023	24	1	0	1	0
146086	9834091	24	1	0	1	0
146086	10326597	25	1	0	1	0
146086	9860657	29	1	0	1	0
146086	9859525	37	1	0	1	0
146086	9828270	40	1	5	1	0
146086	9862738	40	1	0	1	0
146086	9875216	40	1	0	1	0
146086	10036633	40	1	3	1	0
146086	10088089	45	1	0	1	0
146086	9867348	47	1	0	1	0
146086	9851620	49	1	0	1	0
146086	9821924	63	1	0	1	0
146086	9969784	65	2	4	1	0
146086	10092352	65	1	1	1	0
146086	9821958	70	1	0	1	0
146086	9876895	70	1	0	1	0
146086	10309936	70	1	3	1	0
146086	9974289	74	1	0	1	0
146086	9828580	80	1	1	1	0
146086	9883393	83	1	3	1	0
146086	9975407	89	2	5	1	0
146086	9863270	91	1	1	1	0
146086	9858856	94	1	1	1	0
146086	9849179	95	2	2	1	0
146086	10133798	97	1	4	1	0
146086	9822304	100	5	2	1	0
146086	9822679	100	4	0	1	0
146086	9824467	100	3	1	1	0
146086	9838631	100	1	4	1	0
146086	9850182	100	5	2	1	0
146086	9857967	100	1	4	1	3
146086	9859317	100	2	4	1	0
146086	9912586	100	1	4	1	0
146086	9979294	109	3	4	1	4
146086	9877301	110	1	0	1	0
146086	9831198	113	2	2	1	0
146086	9823816	114	1	0	1	0
146086	9849219	114	1	4	1	0
146086	9821963	115	2	0	1	0
146086	9850872	117	2	3	1	0
146086	9847614	118	3	3	1	0
146086	9821784	119	5	0	1	0
146086	9821798	120	6	5	1	1
146086	9821801	120	4	3	1	0
146086	9821822	120	5	3	1	0
146086	9821853	120	3	3	1	0
146086	9821971	120	5	3	1	0
146086	9821979	120	4	0	1	0
146086	9822001	120	6	3	1	1
146086	9822265	120	6	3	4	1
146086	9826400	120	3	1	1	0
146086	9826406	120	2	3	1	0
146086	9831932	120	5	2	1	1
146086	9834333	120	3	1	1	0
146086	9844632	120	3	4	1	1
146086	9848536	120	6	4	1	1
146086	9848567	120	6	2	1	1
146086	9848750	120	6	3	1	0
146086	9849060	120	6	0	1	0
146086	9849288	120	5	1	1	2
146086	9849818	120	3	3	1	0
146086	9850634	120	4	3	1	0
146086	9852250	120	4	1	1	0
146086	9856254	120	5	2	2	0
146086	9863869	120	4	0	1	0
146086	9875257	120	5	4	1	0
146090	9935656	1	1	0	1	0
146090	9935657	1	1	0	1	0
146090	9935658	1	1	0	1	0
146090	9935659	1	1	0	1	0
146090	9935660	1	1	0	1	0
146090	9935662	1	1	0	1	0
146090	9935664	1	1	0	1	0
146090	9935666	1	1	0	1	0
146090	9935670	1	1	0	1	0
146090	9935671	1	1	0	1	0
146090	9935672	1	1	0	1	0
146090	9935673	1	1	0	1	0
146090	9936335	1	1	0	1	0
146090	9936336	1	1	0	1	0
146090	9936338	1	1	0	1	0
146090	9936339	1	1	0	1	0
146090	9936340	1	1	0	1	0
146090	9936341	1	1	0	1	0
146090	9936342	1	1	0	1	0
146090	9936343	1	1	0	1	0
146090	9936345	1	1	0	1	0
146090	9936346	1	1	0	1	0
146090	9936347	1	1	0	1	0
146090	9936348	1	1	0	1	0
146090	9938463	1	1	1	1	0
146090	9940899	1	1	0	1	0
146090	9942321	1	1	0	1	0
146090	9943052	1	1	0	1	0
146090	9950694	1	1	0	1	0
146090	9953839	1	1	0	1	0
146090	9961786	1	1	0	1	0
146090	9968901	1	1	0	1	0
146090	10016871	1	1	0	1	0
146090	10053554	1	1	0	1	0
146090	10203090	1	1	0	1	0
146090	10235676	1	1	0	1	0
146090	10235677	1	1	0	1	0
146090	10235678	1	1	0	1	0
146090	10235679	1	1	0	1	0
146090	10235681	1	1	0	1	0
146090	10235682	1	1	0	1	0
146090	10235684	1	1	0	1	0
146090	10235686	1	1	0	1	0
146090	10235687	1	1	0	1	0
146090	10235688	1	1	0	1	0
146090	10235689	1	1	0	1	0
146090	10235690	1	1	0	1	0
146090	10235729	1	1	0	1	0
146090	10235730	1	1	0	1	0
146090	10235731	1	1	0	1	0
146090	10235732	1	1	0	1	0
146090	10235733	1	1	0	1	0
146090	10235734	1	1	0	1	0
146090	10235736	1	1	0	1	0
146090	10235737	1	1	0	1	0
146090	10235738	1	1	0	1	0
146090	10235741	1	1	0	1	0
146090	10235742	1	1	0	1	0
146090	10235743	1	1	0	1	0
146090	10279926	1	1	0	1	0
146090	10491577	1	1	0	1	0
146090	10550995	1	1	0	1	0
146090	9940671	3	1	0	1	0
146090	9968776	10	1	0	1	0
146090	9968069	12	1	0	1	0
146090	10551796	18	1	0	1	0
146090	10274683	19	1	0	1	0
146090	9934259	31	1	1	1	0
146090	9964809	34	1	0	1	0
