gateway_id	mount_level	player_count
1	1	124
1	2	6
1	4	2
1	5	2
1	9	2
1	12	2
1	16	4
1	17	2
1	21	4
1	25	2
1	28	2
1	30	2
1	32	2
1	34	2
1	39	2
1	40	14
1	49	2
1	55	2
1	59	2
1	62	2
1	66	2
1	68	2
1	70	20
1	73	2
1	75	2
1	77	2
1	78	2
1	79	6
1	80	2
1	81	2
1	84	4
1	89	2
1	90	8
1	93	6
1	94	2
1	97	2
1	98	2
1	99	4
1	100	20
1	111	4
1	112	2
1	113	6
1	114	2
1	115	2
1	116	4
1	119	2
1	120	34
1	127	2
1	129	2
1	130	8
1	132	4
1	133	6
1	134	10
1	135	22
1	136	38
1	137	18
1	138	6
10	1	28
10	2	4
10	3	4
10	5	4
10	12	2
10	14	2
10	29	2
10	34	4
10	36	2
10	40	4
10	52	2
10	67	4
10	70	6
10	85	2
10	91	2
10	98	2
10	100	6
10	102	2
10	108	2
10	115	2
10	119	2
10	120	4
10	132	2
10	133	8
10	134	6
10	135	10
10	136	14
10	137	10
10	138	2
51	1	32
51	2	2
51	3	2
51	4	2
51	8	2
51	9	4
51	13	2
51	21	2
51	36	2
51	40	4
51	45	2
51	52	2
51	60	2
51	61	2
51	65	2
51	70	6
51	72	2
51	77	2
51	82	2
51	83	2
51	92	2
51	100	4
51	114	2
51	116	4
51	120	34
51	132	2
51	133	4
55	1	38
55	13	2
55	17	2
55	22	2
55	25	2
55	40	4
55	49	2
55	64	2
55	70	6
55	73	4
55	76	2
55	77	2
55	78	2
55	80	2
55	85	2
55	86	2
55	87	2
55	88	4
55	91	2
55	92	2
55	93	2
55	100	4
55	101	2
55	103	2
55	108	2
55	109	2
55	111	2
55	115	2
55	116	2
55	118	2
55	119	2
55	120	32
65	1	14
65	4	4
65	7	2
65	8	2
65	10	2
65	13	2
65	20	2
65	25	2
65	37	2
65	39	2
65	40	6
65	47	2
65	48	2
65	50	2
65	51	2
65	60	2
65	62	2
65	65	2
65	70	8
65	83	2
65	88	2
65	91	2
65	92	2
65	94	6
65	96	6
65	97	2
65	98	2
65	99	2
65	100	4
65	105	2
65	109	2
65	110	2
65	112	2
65	114	2
65	115	6
65	116	4
65	117	4
65	118	10
65	119	4
65	120	12
67	1	4
67	2	2
67	5	2
67	8	2
67	35	2
67	51	2
67	72	2
67	89	2
67	100	4
67	110	2
67	117	2
67	118	2
68	1	6
68	68	2
68	94	2
68	96	2
68	100	4
70	1	6
70	6	2
70	7	2
70	33	2
70	38	2
70	39	2
70	60	2
70	65	2
70	70	4
70	79	2
70	84	2
70	95	2
70	96	2
70	97	2
70	98	4
70	100	6
70	103	2
70	106	2
71	1	10
71	2	2
71	3	2
71	30	2
71	64	2
71	88	2
71	97	2
71	98	2
71	100	2
72	1	14
72	3	2
72	8	2
72	13	2
72	29	2
72	32	2
72	91	2
72	96	2
72	97	2
73	1	10
73	70	2
75	1	16
75	2	2
75	5	2
75	7	4
75	16	2
75	23	2
75	27	2
75	33	2
75	38	2
75	70	2
75	77	2
75	81	4
75	85	2
76	1	46
76	3	4
76	8	4
76	9	2
76	11	2
76	18	4
76	24	2
76	37	2
76	40	6
76	46	2
76	58	2
76	70	12
77	1	28
77	2	2
77	3	2
77	6	2
77	7	2
77	8	2
77	15	2
77	17	2
77	19	2
77	21	2
77	32	2
77	34	2
77	36	2
77	37	2
77	38	2
77	40	2
77	44	2
77	46	2
77	49	2
77	52	4
77	53	4
77	58	2
77	67	2
78	1	112
78	2	4
78	3	4
78	5	2
78	6	4
78	7	4
78	9	2
78	15	2
78	18	2
78	19	2
78	29	4
78	32	2
78	34	4
78	37	2
78	38	2
78	40	2
78	44	2
78	47	2
78	48	4
78	50	2
78	52	4
78	57	2
80	1	62
146001	1	252
146001	2	6
146001	5	2
146001	6	2
146001	8	4
146001	10	2
146001	11	2
146001	15	4
146001	17	2
146001	22	2
146001	24	4
146001	25	4
146001	26	2
146001	27	2
146001	31	2
146001	35	2
146001	37	2
146001	38	2
146001	40	26
146001	44	2
146001	50	8
146001	52	2
146001	53	2
146001	57	4
146001	58	2
146001	61	2
146001	62	2
146001	63	2
146001	65	2
146001	66	2
146001	67	2
146001	68	2
146001	69	4
146001	70	28
146001	79	4
146001	80	4
146001	81	2
146001	82	2
146001	84	4
146001	85	2
146001	86	2
146001	87	2
146001	90	4
146001	92	2
146001	93	2
146001	96	2
146001	98	4
146001	100	24
146001	106	2
146001	110	2
146001	111	2
146001	112	6
146001	113	4
146001	114	2
146001	115	2
146001	116	4
146001	117	6
146001	118	4
146001	120	58
146001	122	2
146001	125	4
146001	127	4
146001	130	2
146001	132	4
146001	133	8
146001	134	22
146001	135	34
146001	136	38
146001	137	20
146001	138	2
146001	139	4
146001	140	4
146001	141	4
146001	146	2
146002	1	120
146002	6	2
146002	11	2
146002	12	2
146002	14	2
146002	18	2
146002	19	2
146002	20	2
146002	23	2
146002	24	4
146002	25	2
146002	27	4
146002	28	2
146002	34	2
146002	35	2
146002	37	2
146002	40	18
146002	47	2
146002	54	2
146002	57	2
146002	58	2
146002	60	2
146002	66	2
146002	69	2
146002	70	10
146002	71	2
146002	73	2
146002	74	2
146002	78	2
146002	87	2
146002	91	2
146002	97	2
146002	100	8
146002	116	2
146002	117	2
146002	118	2
146002	119	2
146002	120	20
146002	128	2
146002	130	2
146002	131	2
146002	132	4
146002	133	4
146002	134	10
146002	135	14
146002	136	20
146002	137	8
146005	1	140
146005	2	2
146005	5	2
146005	6	2
146005	7	2
146005	9	6
146005	11	2
146005	14	4
146005	15	4
146005	16	2
146005	17	2
146005	18	2
146005	25	2
146005	27	4
146005	28	4
146005	33	4
146005	36	2
146005	39	2
146005	40	20
146005	47	2
146005	48	4
146005	52	2
146005	54	2
146005	55	2
146005	57	2
146005	58	2
146005	63	4
146005	66	2
146005	67	2
146005	70	14
146005	72	2
146005	82	2
146005	84	2
146005	85	4
146005	86	8
146005	87	2
146005	88	4
146005	89	4
146005	93	2
146005	94	2
146005	95	6
146005	96	2
146005	97	2
146005	98	2
146005	99	4
146005	100	28
146005	108	2
146005	110	2
146005	111	2
146005	112	6
146005	113	2
146005	114	6
146005	115	2
146005	117	4
146005	118	2
146005	119	6
146005	120	84
146005	125	2
146005	127	2
146005	129	4
146005	130	6
146005	131	10
146005	132	8
146005	133	18
146005	134	20
146005	135	36
146005	136	46
146005	137	30
146005	138	4
146005	140	2
146031	1	14
146031	25	2
146031	27	2
146031	28	2
146031	33	2
146031	62	2
146031	120	22
146031	131	2
146031	134	6
146031	135	2
146031	136	6
146031	137	2
146040	1	76
146040	2	2
146040	4	2
146040	5	2
146040	6	8
146040	7	2
146040	13	2
146040	14	4
146040	16	2
146040	17	2
146040	21	2
146040	22	2
146040	24	4
146040	27	2
146040	34	2
146040	36	2
146040	38	2
146040	40	26
146040	45	2
146040	51	2
146040	52	2
146040	53	4
146040	56	2
146040	57	2
146040	59	2
146040	60	2
146040	63	2
146040	64	2
146040	66	2
146040	67	2
146040	68	2
146040	69	2
146040	70	14
146040	76	2
146040	80	4
146040	84	8
146040	85	2
146040	86	2
146040	87	2
146040	93	2
146040	94	4
146040	96	2
146040	98	2
146040	99	2
146040	100	12
146040	108	2
146040	109	2
146040	113	2
146040	115	2
146040	116	2
146040	118	2
146040	119	10
146040	120	64
146040	123	2
146040	126	2
146040	127	2
146040	130	2
146040	131	8
146040	132	4
146040	133	12
146040	134	26
146040	135	22
146040	136	10
146051	1	38
146051	2	6
146051	3	4
146051	7	4
146051	8	2
146051	10	2
146051	14	2
146051	15	2
146051	16	2
146051	18	2
146051	20	2
146051	22	2
146051	26	2
146051	27	2
146051	29	2
146051	32	2
146051	40	10
146051	41	2
146051	47	2
146051	54	2
146051	55	2
146051	60	2
146051	63	2
146051	66	2
146051	70	18
146051	71	4
146051	73	2
146051	76	2
146051	80	2
146051	83	2
146051	93	4
146051	97	2
146051	99	2
146051	100	10
146051	101	2
146051	108	2
146051	113	6
146051	114	2
146051	115	4
146051	116	4
146051	117	4
146051	118	4
146051	120	70
146051	125	4
146051	126	2
146051	128	4
146051	129	2
146051	130	2
146051	131	2
146051	132	2
146051	133	10
146051	134	18
146051	135	8
146051	136	2
146062	1	50
146062	2	2
146062	5	2
146062	7	2
146062	8	2
146062	9	2
146062	11	2
146062	12	2
146062	13	2
146062	16	2
146062	19	2
146062	28	2
146062	32	2
146062	34	2
146062	40	4
146062	44	4
146062	46	2
146062	51	2
146062	52	2
146062	54	2
146062	57	2
146062	58	2
146062	61	4
146062	65	4
146062	67	2
146062	70	12
146062	77	2
146062	78	2
146062	80	2
146062	81	2
146062	82	2
146062	87	2
146062	88	4
146062	94	2
146062	99	2
146062	100	38
146062	104	2
146062	107	2
146062	111	4
146062	114	2
146062	115	8
146062	116	6
