gateway_id	immortal_level	immortal_star	player_count
1	1	0	120
1	1	1	22
1	1	2	1
1	1	3	5
1	1	4	2
1	1	5	4
1	2	0	2
1	2	1	2
1	2	2	4
1	2	3	4
1	2	4	4
1	2	5	4
1	3	1	2
1	3	2	3
1	3	3	1
1	3	4	4
1	4	0	1
1	4	2	1
1	4	3	4
1	4	4	3
1	5	0	2
1	5	1	2
1	5	2	5
1	5	3	5
1	5	4	1
1	5	5	1
1	6	0	2
1	6	1	1
1	6	2	2
1	6	3	1
1	6	4	4
1	7	1	1
10	1	0	31
10	1	1	4
10	1	2	2
10	1	3	2
10	2	2	2
10	2	3	2
10	3	3	1
10	3	4	1
10	3	5	1
10	4	0	1
10	4	1	1
10	4	3	2
10	4	4	2
10	5	0	2
10	5	1	4
10	5	2	3
10	6	0	1
10	6	1	1
10	6	3	2
10	6	4	1
10	7	0	1
10	7	4	1
51	1	0	31
51	1	1	5
51	1	2	1
51	1	3	2
51	1	4	2
51	2	0	1
51	2	4	2
51	3	1	1
51	3	3	3
51	3	5	1
51	4	1	1
51	4	3	3
51	5	1	2
51	5	3	2
51	5	4	1
51	5	5	1
51	6	1	2
51	6	2	2
51	6	3	1
51	7	2	1
51	7	3	1
55	1	0	35
55	1	1	4
55	1	2	2
55	1	3	1
55	1	4	2
55	1	5	1
55	2	0	1
55	2	2	1
55	2	3	2
55	3	0	1
55	3	1	1
55	4	2	1
55	4	3	2
55	4	4	2
55	5	0	2
55	5	2	2
55	5	3	1
55	5	4	1
55	6	0	2
55	6	1	2
55	6	2	3
55	7	1	1
65	1	0	30
65	1	1	4
65	1	2	3
65	1	3	5
65	1	4	1
65	1	5	3
65	2	2	1
65	2	4	2
65	3	0	1
65	3	3	1
65	3	4	1
65	4	1	1
65	4	2	1
65	4	4	2
65	4	5	1
65	5	0	3
65	5	1	1
65	5	2	3
65	5	3	3
65	5	4	1
65	6	0	2
65	6	1	2
65	6	2	2
65	6	3	1
67	1	0	10
67	1	3	1
67	2	5	1
67	3	0	1
67	3	1	1
67	3	3	1
67	5	2	1
67	5	3	3
67	5	5	1
67	6	0	1
67	6	1	1
70	1	0	8
70	1	1	1
70	1	4	1
70	2	2	1
70	2	3	1
70	3	0	1
70	3	1	1
70	3	2	2
70	4	4	1
70	4	5	1
70	5	3	2
70	5	4	2
70	6	3	1
71	1	0	4
71	1	3	1
71	2	3	1
71	5	0	1
71	5	2	1
71	6	5	1
72	1	0	8
72	1	5	1
72	5	3	1
72	6	0	1
72	6	3	1
73	1	0	6
73	5	1	1
75	1	0	44
75	1	1	3
75	1	2	1
75	1	3	1
75	1	5	1
75	2	3	1
75	2	4	1
75	3	1	1
75	3	4	2
75	4	0	1
75	4	1	1
75	4	2	1
75	4	4	1
75	4	5	1
75	5	1	1
77	1	0	14
77	1	1	3
77	1	2	3
77	1	3	3
77	1	4	2
77	1	5	2
77	2	0	1
77	2	2	2
77	2	3	1
77	2	5	1
77	3	3	1
78	1	0	50
78	1	1	4
78	1	2	2
78	1	4	5
78	2	0	1
78	2	1	1
78	2	2	2
78	2	3	1
78	2	5	2
80	1	0	87
80	1	1	3
80	1	2	1
80	1	4	1
146001	1	0	205
146001	1	1	26
146001	1	2	7
146001	1	3	2
146001	1	4	4
146001	1	5	6
146001	2	0	4
146001	2	1	5
146001	2	2	3
146001	2	3	6
146001	2	4	2
146001	2	5	2
146001	3	2	4
146001	3	3	3
146001	3	4	3
146001	3	5	4
146001	4	1	1
146001	4	2	4
146001	4	3	2
146001	4	4	3
146001	4	5	2
146001	5	0	3
146001	5	1	1
146001	5	2	3
146001	5	3	6
146001	5	4	3
146001	5	5	1
146001	6	0	6
146001	6	1	3
146001	6	2	4
146001	6	3	2
146001	6	4	2
146001	6	5	1
146002	1	0	96
146002	1	1	12
146002	1	2	1
146002	1	3	1
146002	1	4	2
146002	1	5	1
146002	2	2	1
146002	2	3	2
146002	2	4	1
146002	3	0	2
146002	3	2	1
146002	3	3	1
146002	4	2	2
146002	4	3	3
146002	4	4	2
146002	4	5	3
146002	5	0	2
146002	5	1	4
146002	5	2	2
146002	5	3	1
146002	5	4	1
146002	6	0	1
146002	6	1	4
146002	6	2	1
146002	6	3	3
146002	6	4	1
146002	7	0	1
146005	1	0	155
146005	1	1	23
146005	1	2	7
146005	1	3	5
146005	1	4	7
146005	1	5	10
146005	2	0	3
146005	2	1	7
146005	2	2	1
146005	2	3	7
146005	2	4	2
146005	2	5	3
146005	3	0	1
146005	3	1	1
146005	3	2	7
146005	3	3	4
146005	3	4	3
146005	3	5	4
146005	4	1	1
146005	4	2	1
146005	4	3	3
146005	4	4	4
146005	4	5	3
146005	5	0	2
146005	5	1	10
146005	5	2	2
146005	5	3	6
146005	5	4	1
146005	5	5	1
146005	6	0	5
146005	6	1	3
146005	6	2	5
146005	6	3	1
146005	6	4	4
146005	7	0	1
146031	1	0	11
146031	1	2	1
146031	1	3	1
146031	2	4	1
146031	3	1	1
146031	3	2	2
146031	4	0	1
146031	4	4	1
146031	5	0	1
146031	5	1	1
146031	5	2	3
146031	5	4	1
146031	6	0	1
146031	6	1	2
146031	6	2	2
146031	6	3	1
146031	7	1	1
146031	8	2	1
146040	1	0	102
146040	1	1	19
146040	1	2	4
146040	1	3	1
146040	1	4	3
146040	1	5	1
146040	2	0	6
146040	2	1	1
146040	2	2	2
146040	2	3	3
146040	2	4	2
146040	3	1	4
146040	3	2	6
146040	3	3	1
146040	3	4	2
146040	4	0	2
146040	4	1	3
146040	4	2	2
146040	4	3	2
146040	4	4	4
146040	4	5	2
146040	5	0	3
146040	5	1	5
146040	5	2	9
146040	5	3	4
146040	5	4	3
146040	5	5	1
146040	6	0	2
146040	6	1	5
146040	6	2	3
146040	6	3	2
146040	6	4	1
146040	7	0	1
146040	7	1	1
146040	8	2	1
146051	1	0	62
146051	1	1	13
146051	1	2	4
146051	1	3	2
146051	1	4	1
146051	1	5	3
146051	2	0	1
146051	2	1	2
146051	2	2	2
146051	2	3	1
146051	2	4	3
146051	2	5	2
146051	3	0	1
146051	3	2	1
146051	3	3	2
146051	3	4	3
146051	3	5	2
146051	4	0	1
146051	4	2	3
146051	4	3	2
146051	4	4	1
146051	4	5	1
146051	5	0	4
146051	5	1	2
146051	5	2	1
146051	5	3	8
146051	5	4	3
146051	5	5	2
146051	6	1	3
146051	6	2	6
146051	6	3	2
146051	6	4	1
146051	7	1	1
146051	7	2	1
146062	1	0	69
146062	1	1	8
146062	1	2	3
146062	1	4	2
146062	1	5	5
146062	2	0	2
146062	2	1	1
146062	2	2	1
146062	2	3	1
146062	2	4	4
146062	2	5	1
146062	3	0	1
146062	3	1	1
146062	3	2	1
146062	3	3	2
146062	3	4	3
146062	3	5	1
146062	4	2	2
146062	4	3	2
146062	4	4	1
146062	5	0	3
146062	5	1	4
146062	5	2	6
146062	5	3	5
146062	5	5	1
146062	6	0	1
146062	6	1	3
146062	6	2	4
146062	6	3	3
146062	6	4	4
146062	7	0	2
146070	1	0	115
146070	1	1	7
146070	1	2	5
146070	1	3	2
146070	1	5	2
146070	2	2	1
146070	2	3	1
146070	2	4	1
146070	3	0	2
146070	3	1	1
146070	3	2	2
146070	3	4	1
146070	4	1	2
146070	4	2	3
146070	4	3	1
146070	4	4	2
146070	5	0	1
146070	5	1	3
146070	5	3	4
146070	5	5	2
146070	6	1	4
146070	6	2	4
146070	6	3	1
146070	6	4	2
146072	1	0	76
146072	1	1	6
146072	1	2	2
146072	1	3	2
146072	1	5	1
146072	2	4	2
146072	2	5	1
146072	3	2	2
146072	3	3	3
146072	3	4	1
146072	3	5	1
146072	4	2	2
146072	4	3	1
146072	4	4	1
146072	5	0	1
146072	5	1	3
146072	5	2	4
146072	5	3	2
146072	5	4	1
146072	5	5	1
146072	6	0	1
146072	6	1	2
146072	6	2	1
146072	6	3	2
146072	7	3	1
146075	1	0	62
146075	1	1	4
146075	1	2	3
146075	1	3	3
146075	1	4	1
146075	1	5	4
146075	2	0	2
146075	2	1	2
146075	2	2	2
146075	2	4	4
146075	3	1	1
146075	3	2	1
146075	3	3	3
146075	3	4	3
146075	4	2	4
146075	4	4	1
146075	5	0	2
146075	5	1	4
146075	5	2	6
146075	5	3	4
146075	5	4	3
146075	5	5	1
146075	6	0	1
146075	6	1	3
146075	6	2	3
146075	6	3	1
146075	7	2	2
146075	7	3	1
146077	1	0	39
146077	1	1	3
146077	1	2	1
146077	1	4	1
146077	2	1	1
146077	2	2	1
146077	2	4	1
146077	3	2	1
146077	3	3	2
146077	3	4	1
146077	3	5	1
146077	4	1	2
146077	4	3	1
146077	4	4	2
146077	4	5	2
146077	5	1	1
146077	5	2	1
146077	5	3	1
146077	5	4	1
146077	5	5	1
146077	6	0	2
146077	6	2	5
146077	6	3	4
146077	7	1	1
146077	7	2	1
146077	7	3	1
146082	1	0	166
146082	1	1	4
146082	1	2	2
146082	1	3	1
146082	1	4	1
146082	1	5	2
146082	2	0	4
146082	2	2	2
146082	2	3	1
146082	2	4	1
146082	2	5	5
146082	3	1	1
146082	3	3	6
146082	3	4	1
146082	4	2	1
146082	4	3	1
146082	4	4	1
146082	4	5	3
146082	5	0	1
146082	5	1	1
146082	5	2	1
146082	5	3	4
146082	5	4	3
146082	5	5	1
146082	6	0	2
146082	6	1	4
146082	6	2	1
146082	6	3	3
146082	6	4	5
146082	7	0	1
146082	7	1	1
146082	7	4	1
146086	1	0	41
146086	1	1	3
146086	1	3	2
146086	1	4	2
146086	1	5	4
146086	2	1	1
146086	2	2	1
146086	2	3	1
146086	3	0	1
146086	3	1	1
146086	3	3	4
146086	3	4	1
146086	4	0	2
146086	4	1	1
146086	4	2	1
146086	4	3	1
146086	4	4	2
146086	5	0	1
146086	5	1	2
146086	5	2	6
146086	5	3	1
146086	6	1	2
146086	6	3	2
146086	6	4	3
146088	1	0	78
146088	1	1	3
146088	1	2	2
146088	1	3	1
146088	1	4	1
146088	1	5	2
146088	2	1	2
146088	2	2	2
146088	2	3	1
146088	2	4	1
146088	3	2	2
146088	3	3	1
146088	4	1	2
146088	4	2	1
146088	4	3	1
146088	4	4	1
146088	4	5	1
146088	5	0	3
146088	5	1	2
146088	5	2	1
146088	5	3	3
146088	6	1	1
146088	6	2	2
146088	6	3	1
146089	1	0	129
146089	1	1	3
146089	1	2	2
146089	1	4	1
146089	1	5	1
146089	2	3	1
146089	2	4	1
146089	2	5	1
146089	3	3	5
146089	3	4	1
146089	3	5	1
146089	4	0	1
146089	4	1	1
146089	4	2	1
146089	4	3	1
146089	5	1	4
146089	5	3	6
146089	5	4	2
146089	5	5	1
146089	6	1	1
146089	6	2	3
146089	6	3	1
146089	7	1	2
146091	1	0	31
146091	1	1	4
146091	1	2	3
146091	1	4	1
146091	1	5	2
146091	2	0	1
146091	2	2	2
146091	2	3	3
146091	2	4	2
146091	2	5	2
146091	3	0	1
146091	3	1	1
146091	3	3	1
146091	3	4	1
146091	3	5	2
146091	5	0	1
146091	5	2	2
146091	5	3	1
146091	6	0	1
146091	6	1	3
146091	7	0	1
146092	1	0	149
146092	1	1	6
146092	1	2	4
146092	1	3	3
146092	2	0	1
146092	2	1	2
146092	2	3	4
146092	2	5	2
146092	3	0	2
146092	3	1	2
146092	3	2	1
146092	3	3	3
146092	3	4	2
146092	3	5	1
146092	4	0	2
146092	4	2	2
146092	4	3	3
146092	4	5	3
146092	5	1	1
146092	5	2	2
146092	5	3	1
146092	5	4	1
146092	6	0	3
146092	6	1	1
146092	6	2	1
146092	6	3	4
146092	7	1	1
146092	7	2	1
146094	1	0	111
146094	1	2	2
146094	1	3	3
146094	1	5	2
146094	2	0	3
146094	2	1	2
146094	2	2	1
146094	2	3	2
146094	2	4	1
146094	3	3	2
146094	3	4	1
146094	3	5	3
146094	4	0	1
146094	4	1	1
146094	4	3	1
146094	5	1	1
146094	6	0	1
146094	6	1	2
146094	6	2	1
146094	6	3	1
146094	7	1	1
146094	7	2	1
146096	1	0	92
146096	1	1	6
146096	1	2	1
146096	1	3	2
146096	1	4	4
146096	1	5	2
146096	2	0	1
146096	2	1	4
146096	2	2	1
146096	2	3	1
146096	2	4	1
146096	3	1	2
146096	3	2	1
146096	3	3	1
146096	3	5	3
146096	4	1	1
146096	4	2	1
146096	4	3	2
146096	4	4	2
146096	4	5	2
146096	5	2	1
