gateway_id	role_id	item_type	value	sheet_id	quantity
146102	10271982	2	承影·阳(6级)	423500653.sitem	1
146102	10271991	2	承影·阳(1级)	423500153.sitem	1
146102	10272002	2	承影·阳(6级)	423500653.sitem	1
146102	10272173	2	承影·阳(6级)	423500653.sitem	1
146102	10272256	2	勾陈·阳(7级)	423600753.sitem	1
146102	10272263	2	彗蚀·阳(6级)	423300653.sitem	1
146102	10272275	2	绝云·阳(6级)	423200653.sitem	1
146102	10272522	2	勾陈·阳(7级)	423600753.sitem	1
146102	10272800	2	龙渊·阳(1级)	423400153.sitem	1
146102	10272909	2	承影·阳(6级)	423500653.sitem	1
146102	10272959	2	承影·阳(6级)	423500653.sitem	1
146102	10273097	2	彗蚀·阳(1级)	423300153.sitem	1
146102	10273155	2	承影·阳(4级)	423500453.sitem	1
146102	10273182	2	彗蚀·阳(3级)	423300353.sitem	1
146102	10273220	2	勾陈·阳(6级)	423600653.sitem	1
146102	10273262	2	彗蚀·阳(5级)	423300553.sitem	1
146102	10273396	2	绝云·阴(10级)	423201054.sitem	1
146102	10273396	2	绝云·阴(10级)	423201054.sitem	1
146102	10273396	2	承影·灭(8级)	423500851.sitem	1
146102	10273396	2	承影·阳(10级)	423501053.sitem	1
146102	10273396	2	勾陈·灭(10级)	423601051.sitem	1
146102	10273873	2	彗蚀·阳(5级)	423300553.sitem	1
146102	10274717	2	彗蚀·阳(6级)	423300653.sitem	1
146102	10274840	2	绝云·阳(6级)	423200653.sitem	1
146102	10275140	2	彗蚀·阳(1级)	423300153.sitem	1
146102	10275633	2	龙渊·阳(6级)	423400653.sitem	1
146102	10275658	2	勾陈·阳(6级)	423600653.sitem	1
146102	10276347	2	彗蚀·阳(7级)	423300753.sitem	1
146102	10276354	2	勾陈·阳(7级)	423600753.sitem	1
146102	10276382	2	龙渊·阳(7级)	423400753.sitem	1
146102	10276511	2	绝云·阳(7级)	423200753.sitem	1
146102	10276631	2	勾陈·阳(6级)	423600653.sitem	1
146102	10276655	2	彗蚀·阳(5级)	423300553.sitem	1
146102	10276661	2	承影·阳(1级)	423500153.sitem	1
146102	10277354	2	彗蚀·阳(5级)	423300553.sitem	1
146102	10277895	2	承影·阳(6级)	423500653.sitem	1
146102	10277920	2	承影·阳(7级)	423500753.sitem	1
146102	10278005	2	承影·阳(6级)	423500653.sitem	1
146102	10278370	2	承影·阳(1级)	423500153.sitem	1
146102	10278566	2	勾陈·阳(3级)	423600353.sitem	1
146102	10278870	2	勾陈·阳(3级)	423600353.sitem	1
146102	10278908	2	绝云·阳(7级)	423200753.sitem	1
146102	10278931	2	彗蚀·阳(6级)	423300653.sitem	1
146102	10280274	2	绝云·阳(1级)	423200153.sitem	1
146102	10280686	2	彗蚀·阳(4级)	423300453.sitem	1
146102	10281681	2	勾陈·阳(1级)	423600153.sitem	1
146102	10282798	2	勾陈·阳(4级)	423600453.sitem	1
146102	10282923	2	承影·阳(6级)	423500653.sitem	1
146102	10283103	2	绝云·阳(1级)	423200153.sitem	1
146102	10283313	2	绝云·阳(6级)	423200653.sitem	1
146102	10283621	2	承影·阳(5级)	423500553.sitem	1
146102	10283839	2	彗蚀·阳(8级)	423300853.sitem	1
146102	10284756	2	勾陈·阳(4级)	423600453.sitem	1
146102	10285288	2	承影·阳(7级)	423500753.sitem	1
146102	10286345	2	彗蚀·阳(1级)	423300153.sitem	1
146102	10287019	2	勾陈·阳(3级)	423600353.sitem	1
146102	10287134	2	勾陈·阳(4级)	423600453.sitem	1
146102	10287157	2	绝云·阳(6级)	423200653.sitem	1
146102	10287866	2	勾陈·阳(1级)	423600153.sitem	1
146102	10291027	2	彗蚀·阳(1级)	423300153.sitem	1
146102	10291137	2	彗蚀·阳(1级)	423300153.sitem	1
146102	10291586	2	承影·阳(1级)	423500153.sitem	1
146102	10291593	2	绝云·阳(1级)	423200153.sitem	1
146102	10291610	2	勾陈·阳(4级)	423600453.sitem	1
146102	10291732	2	承影·阳(4级)	423500453.sitem	1
146102	10293087	2	承影·阳(5级)	423500553.sitem	1
146102	10293136	2	绝云·阳(2级)	423200253.sitem	1
146107	10383479	2	绝云·阳(6级)	423200653.sitem	1
146107	10383485	2	彗蚀·阳(6级)	423300653.sitem	1
146107	10383520	2	龙渊·阳(5级)	423400553.sitem	1
146107	10383522	2	彗蚀·阳(5级)	423300553.sitem	1
146107	10383525	2	承影·阳(7级)	423500753.sitem	1
146107	10383563	2	彗蚀·阳(5级)	423300553.sitem	1
146107	10383729	2	承影·阳(3级)	423500353.sitem	1
