gateway_id	evil_level	evil_star	player_count
1	1	0	201
1	1	1	5
1	1	2	1
1	1	3	2
1	2	5	1
10	1	0	63
10	1	1	1
10	1	2	1
10	1	4	1
51	1	0	62
55	1	0	59
55	1	1	3
55	1	2	1
55	1	3	1
55	2	2	2
55	3	3	1
65	1	0	69
65	1	2	2
65	1	3	1
65	2	0	1
65	2	1	1
67	1	0	19
67	1	1	1
67	1	2	1
67	1	5	1
70	1	0	22
71	1	0	6
71	1	3	1
71	1	4	1
72	1	0	11
73	1	0	5
75	1	0	55
77	1	0	33
78	1	0	64
80	1	0	16
146001	1	0	282
146001	1	1	5
146001	1	5	1
146001	2	0	1
146001	2	1	2
146001	3	3	1
146001	3	4	2
146001	4	1	1
146001	4	3	1
146001	5	3	1
146001	5	4	2
146002	1	0	138
146002	1	1	1
146002	1	2	1
146002	1	3	1
146002	1	4	1
146002	2	0	2
146005	1	0	264
146005	1	1	4
146005	1	2	4
146005	1	3	2
146005	1	5	2
146005	2	3	1
146005	3	0	1
146005	3	3	1
146005	3	4	1
146005	4	4	2
146005	5	0	1
146031	1	0	29
146031	2	2	1
146031	2	4	1
146040	1	0	193
146040	1	1	3
146040	1	3	3
146040	2	0	2
146040	2	3	1
146040	2	4	2
146040	4	1	1
146051	1	0	135
146051	1	1	2
146051	1	2	1
146051	1	3	1
146051	1	4	1
146051	2	0	1
146051	2	2	2
146051	2	5	1
146051	3	2	1
146051	3	3	1
146051	4	0	1
146062	1	0	135
146062	1	1	4
146062	1	2	2
146062	1	3	1
146062	1	5	1
146062	2	2	1
146062	3	0	1
146070	1	0	153
146070	1	1	3
146070	1	2	3
146070	1	3	1
146070	2	0	2
146070	2	1	1
146070	2	5	1
146070	4	0	1
146070	6	2	2
146072	1	0	108
146072	1	1	2
146072	1	5	1
146072	2	1	2
146072	2	3	1
146072	3	0	1
146072	3	1	1
146072	3	2	1
146072	3	4	2
146072	6	0	1
146075	1	0	108
146075	1	1	3
146075	1	2	1
146075	1	3	3
146075	2	3	1
146075	2	5	1
146075	3	1	1
146075	4	3	1
146077	1	0	69
146077	1	1	3
146077	1	2	2
146077	1	3	1
146077	1	4	2
146082	1	0	213
146082	1	1	5
146082	1	3	1
146082	1	4	1
146082	1	5	1
146086	1	0	75
146086	1	1	6
146086	1	2	1
146086	1	3	1
146086	1	4	1
146086	2	0	1
146086	4	1	1
146088	1	0	102
146088	1	1	1
146088	1	2	2
146088	1	3	1
146088	1	4	2
146088	2	0	1
146088	2	3	1
146088	3	4	1
146089	1	0	152
146089	1	1	1
146089	1	2	4
146089	1	3	1
146089	1	4	1
146089	2	2	1
146089	2	3	1
146089	2	4	1
146089	3	3	1
146091	1	0	55
146091	1	1	2
146091	1	2	1
146091	1	3	3
146091	1	4	2
146091	2	1	2
146091	2	3	1
146092	1	0	183
146092	1	1	5
146092	1	2	5
146092	1	3	1
146092	1	4	1
146092	1	5	1
146092	2	4	1
146092	3	4	1
146094	1	0	135
146094	1	3	2
146094	2	2	1
146094	2	4	1
146096	1	0	124
146096	1	1	3
146096	1	2	2
146096	1	3	3
146096	1	4	3
146096	2	0	1
146096	2	2	1
146096	2	3	2
146096	3	1	1
146096	3	3	1
146098	1	0	66
146098	1	2	2
146098	1	3	2
146098	1	4	1
146098	2	2	1
146098	2	4	1
146098	3	4	1
146099	1	0	94
146099	1	2	1
146099	1	3	4
