gateway_id	slot_id	cur_level	player_count
146086	1	0	74
146086	1	2	3
146086	1	3	4
146086	1	4	3
146086	1	9	1
146086	2	0	67
146086	2	1	1
146086	2	2	6
146086	2	3	3
146086	2	4	2
146086	2	5	1
146086	2	6	2
146086	2	9	1
146086	2	10	1
146086	2	11	1
146086	3	0	75
146086	3	1	4
146086	3	2	2
146086	3	3	2
146086	3	4	1
146086	3	6	1
146086	4	0	66
146086	4	2	1
146086	4	3	2
146086	4	4	4
146086	4	5	1
146086	4	6	1
146086	4	7	2
146086	4	8	3
146086	4	9	2
146086	4	10	1
146086	4	11	2
146086	5	0	67
146086	5	1	1
146086	5	2	5
146086	5	3	3
146086	5	4	1
146086	5	5	1
146086	5	6	2
146086	5	7	1
146086	5	9	2
146086	5	10	2
146086	6	0	75
146086	6	2	1
146086	6	3	3
146086	6	4	4
146086	6	8	1
146086	6	11	1
146086	7	0	66
146086	7	1	7
146086	7	2	1
146086	7	3	2
146086	7	4	3
146086	7	5	1
146086	7	6	1
146086	7	7	1
146086	7	10	1
146086	7	11	1
146086	7	13	1
146086	8	0	77
146086	8	2	2
146086	8	3	1
146086	8	4	1
146086	8	5	1
146086	8	6	2
146086	8	11	1
146086	9	0	64
146086	9	2	2
146086	9	3	2
146086	9	4	3
146086	9	5	3
146086	9	6	1
146086	9	7	1
146086	9	9	3
146086	9	10	1
146086	9	11	4
146086	9	12	1
146086	10	0	71
146086	10	1	3
146086	10	2	3
146086	10	3	2
146086	10	4	1
146086	10	5	1
146086	10	7	1
146086	10	9	1
146086	10	10	1
146086	10	11	1
146090	1	0	23
146090	1	1	2
146090	1	5	1
146090	1	7	2
146090	2	0	15
146090	2	1	2
146090	2	2	3
146090	2	4	1
146090	2	5	1
146090	2	7	1
146090	2	9	1
146090	2	10	1
146090	2	11	2
146090	2	19	1
146090	3	0	28
146090	4	0	15
146090	4	1	1
146090	4	2	1
146090	4	3	2
146090	4	7	1
146090	4	10	7
146090	4	11	1
146090	5	0	18
146090	5	1	1
146090	5	4	4
146090	5	5	1
146090	5	6	1
146090	5	7	1
146090	5	10	1
146090	5	14	1
146090	6	0	23
146090	6	1	1
146090	6	2	1
146090	6	4	1
146090	6	8	1
146090	6	9	1
146090	7	0	15
146090	7	1	1
146090	7	2	4
146090	7	6	1
146090	7	9	1
146090	7	10	3
146090	7	11	2
146090	7	21	1
146090	8	0	28
146090	9	0	15
146090	9	1	2
146090	9	3	1
146090	9	4	1
146090	9	6	1
146090	9	10	2
146090	9	11	5
146090	9	12	1
146090	10	0	20
146090	10	1	1
146090	10	2	1
146090	10	4	1
146090	10	5	2
146090	10	6	1
146090	10	10	1
146090	10	17	1
146098	1	0	6
146098	1	1	1
146098	1	2	3
146098	1	3	1
146098	1	4	3
146098	1	6	1
146098	1	8	1
146098	1	9	1
146098	1	10	3
146098	1	11	3
146098	2	0	17
146098	2	1	2
146098	2	2	1
146098	2	4	1
146098	2	5	1
146098	2	11	1
146098	3	0	20
146098	3	1	3
146098	4	0	16
146098	4	1	2
146098	4	2	3
146098	4	3	2
146098	5	0	16
146098	5	2	1
146098	5	3	3
146098	5	6	1
146098	5	7	1
146098	5	10	1
146098	6	0	7
146098	6	1	1
146098	6	2	2
146098	6	3	2
146098	6	5	1
146098	6	6	1
146098	6	7	1
146098	6	8	1
146098	6	9	1
146098	6	10	2
146098	6	11	4
146098	7	0	17
146098	7	1	1
146098	7	2	1
146098	7	3	1
146098	7	5	1
146098	7	6	1
146098	7	11	1
146098	8	0	23
146098	9	0	16
146098	9	1	1
146098	9	2	2
146098	9	3	2
146098	9	5	1
146098	9	6	1
146098	10	0	14
146098	10	1	2
146098	10	3	2
146098	10	4	1
146098	10	5	1
146098	10	6	1
146098	10	7	1
146098	10	10	1
146102	1	0	23
146102	1	1	4
146102	1	2	8
146102	1	3	1
146102	1	4	4
