level	count(*)
1	1602
2	2103
3	2274
4	3753
5	415
6	1819
7	852
8	2006
9	951
10	1493
11	1003
12	1247
13	1074
14	1587
15	1504
16	613
17	361
18	593
19	378
20	202
21	386
22	211
23	146
24	262
25	615
26	332
27	286
28	116
29	488
30	80
31	87
32	218
33	103
34	233
35	597
36	250
37	242
38	317
39	184
40	164
41	127
42	112
43	478
44	205
45	364
46	339
47	370
48	270
49	257
50	277
51	285
52	258
53	261
54	268
55	207
56	252
57	192
58	211
59	141
60	204
61	196
62	150
63	163
64	148
65	657
66	677
67	532
68	416
69	385
70	461
71	396
72	361
73	336
74	331
75	532
76	489
77	487
78	401
79	305
80	540
81	327
82	330
83	359
84	276
85	277
86	304
87	259
88	211
89	234
90	368
91	248
92	264
93	210
94	225
95	228
96	172
97	166
98	126
99	121
100	359
101	110
102	109
103	122
104	87
105	83
106	80
107	57
108	46
109	39
110	39
111	25
112	2
113	4
114	1
