gateway_id	AVG(diamond_blue)	AVG(diamond_red)	AVG(unbuond_money)	AVG(zhenqi)	AVG(lingqi)	AVG(pvp_honor)	AVG(renown)	AVG(exploit)
225001	137.2083	822.6188	7274316.2752	343004.6241	92032.5480	3717.8294	260.1960	176.6556
225002	52.9253	632.3399	4268402.3584	285151.2726	74061.2537	2584.9880	176.3215	124.6771
225003	107.0265	923.6111	8238706.3254	850192.3307	91866.9497	6570.6190	419.7884	314.1429
225004	48.1967	701.9124	5780345.4156	285997.4892	77931.4517	3318.6887	223.8464	146.5747
225005	72.7372	700.3245	5752562.5859	474204.3642	78992.9633	4767.6505	291.8869	155.3686
225006	67.2820	565.4446	4968051.1280	490291.9481	72494.7474	4362.2612	222.3183	242.7163
225007	80.0336	881.6377	4745652.0255	311780.3623	78984.6377	3466.0694	260.7350	169.0544
225008	70.5780	755.9210	5559023.9056	420817.5857	75618.8324	5058.2389	408.9210	247.6994
225009	46.2929	669.4714	5471550.5214	520737.4857	67964.5857	5815.3571	602.1786	365.9000
225010	33.0933	666.0140	3965228.3163	212482.5863	69020.8780	2212.7104	126.0764	114.4102
225011	280.2143	549.8571	3696427.5000	688968.8571	77761.2857	14107.2857	1113.9286	362.0000
225012	82.7546	750.7917	4462903.2130	395487.4861	67033.2407	6139.1620	311.6898	370.9028
225013	24.4850	471.2227	2762580.7121	107179.6490	60987.3380	1182.4804	66.4198	66.1355
225014	8.6885	222.5358	1369912.8234	46558.9012	44116.6643	431.9984	20.8052	24.7891
225015	3.9545	103.3104	756605.8100	27750.0888	38559.5787	168.9419	9.2173	7.9599
225016	4.4403	84.8121	571412.4676	25774.3841	38175.7452	98.4962	5.5869	3.1739
