1903724893,129243
1904198056,106619
1904274483,65441
1904247407,63950
1903724935,57832
1903752646,57301
1904215485,51992
1904020706,51692
1904216572,51372
1904217398,48854
1904215545,40429
1904046089,40081
1904029244,36946
1903762261,36923
1904216184,36154
1904301732,35127
1903841667,34466
1904259846,32322
1903914310,32238
1903764982,31625
1903945196,29885
1903800240,29726
1903856357,29700
1903793748,28591
1903744913,28307
1903837353,25598
1904147841,25534
1904217514,25106
1904429995,22255
1903801516,22160
1903753201,21687
1904077438,20550
1903946614,18921
1904185733,18690
1904277882,17232
1904231732,16945
1904340872,16472
1903919325,15317
1904199142,14662
1904228763,14661
1904199225,14510
1904448293,14361
1904197277,14307
1903944809,13882
1904234422,13852
1903838342,13781
1903758266,13525
1904265871,13524
1904229268,13522
1904229066,13428
1904250182,13327
1904176646,13180
1904255470,12241
1904238058,12211
1903797895,12085
1904171270,12065
1903945289,11964
1904278220,11110
1904259238,11095
1903857134,11032
1904248318,11000
1904466588,10814
1904194987,10746
1903719076,10023
1904212721,9871
1904145882,9800
1904232190,9614
1904307221,9608
1904255546,9516
1904276134,9231
1904404254,9168
1904200071,9145
1904199951,9124
1904231456,8847
1904263071,8080
1904281654,8050
1903864355,7927
1903781636,7793
1903751388,7694
1903942019,7545
1903714026,7401
1904213399,7162
1904237695,6974
1904346742,6972
1903855160,6914
1904400008,6805
1904231390,6664
1904327159,6648
1903915869,6594
1904228288,6578
1903786893,6555
1904249836,6550
1903926261,6507
1904251788,6264
1904178673,6259
1904253975,6035
1903646176,6000
1903838334,5936
1904276189,5863
1904386142,5632
1904301774,5536
1904452565,5369
1904184909,5300
1904230940,5240
1904432517,5120
1904375299,5048
1903720928,5000
