gateway_id	role_id	sheet_id	count(*)
146086	9821778	圣灵珠·3级	7
146086	9821778	圣灵珠·4级	3
146086	9821778	火灵珠·3级	3
146086	9821778	火灵珠·4级	7
146086	9821778	物理防御水晶·5级	10
146086	9821778	物理攻击水晶·5级	4
146086	9821778	物理攻击水晶·6级	6
146086	9821778	血宝石·5级	10
146086	9821778	法术防御水晶·5级	10
146086	9821778	木灵珠·3级	8
146086	9821779	圣灵珠·2级	8
146086	9821779	圣灵珠·3级	1
146086	9821779	物理防御水晶·4级	9
146086	9821779	物理防御水晶·5级	1
146086	9821779	物理攻击水晶·5级	10
146086	9821779	血宝石·4级	4
146086	9821779	血宝石·5级	6
146086	9821779	雷灵珠·2级	1
146086	9821779	雷灵珠·3级	3
146086	9821779	法术防御水晶·4级	6
146086	9821779	法术防御水晶·5级	3
146086	9821784	圣灵珠·4级	10
146086	9821784	紫玛瑙·3级	1
146086	9821784	紫玛瑙·4级	1
146086	9821784	物理防御水晶·5级	6
146086	9821784	物理防御水晶·6级	4
146086	9821784	物理攻击水晶·6级	10
146086	9821784	血宝石·6级	10
146086	9821784	雷灵珠·5级	10
146086	9821784	法术防御水晶·5级	10
146086	9821798	圣灵珠·3级	1
146086	9821798	圣灵珠·4级	1
146086	9821798	圣灵珠·5级	7
146086	9821798	圣灵珠·6级	1
146086	9821798	紫玛瑙·4级	6
146086	9821798	紫玛瑙·5级	3
146086	9821798	紫玛瑙·6级	1
146086	9821798	物理防御水晶·6级	10
146086	9821798	物理攻击水晶·6级	10
146086	9821798	血宝石·6级	10
146086	9821798	雷灵珠·4级	2
146086	9821798	雷灵珠·5级	5
146086	9821798	雷灵珠·6级	3
146086	9821798	法术防御水晶·6级	10
146086	9821801	圣灵珠·3级	1
146086	9821801	圣灵珠·4级	9
146086	9821801	紫玛瑙·3级	1
146086	9821801	物理防御水晶·5级	10
146086	9821801	物理攻击水晶·5级	9
146086	9821801	物理攻击水晶·6级	1
146086	9821801	血宝石·5级	10
146086	9821801	雷灵珠·4级	10
146086	9821801	水灵珠·3级	4
146086	9821801	水灵珠·4级	1
146086	9821801	法术防御水晶·5级	10
146086	9821801	法术闪避石·4级	1
146086	9821801	法术闪避石·5级	1
146086	9821807	圣灵珠·4级	8
146086	9821807	圣灵珠·5级	2
146086	9821807	紫玛瑙·4级	9
146086	9821807	紫玛瑙·5级	1
146086	9821807	物理防御水晶·4级	5
146086	9821807	物理防御水晶·5级	5
146086	9821807	物理攻击水晶·5级	3
146086	9821807	物理攻击水晶·6级	7
146086	9821807	血宝石·5级	10
146086	9821807	雷灵珠·4级	10
146086	9821807	法术防御水晶·4级	3
146086	9821807	法术防御水晶·5级	7
146086	9821811	物理攻击水晶·1级	1
146086	9821811	物理攻击水晶·3级	1
146086	9821811	物理攻击水晶·4级	1
146086	9821811	血宝石·3级	2
146086	9821811	血宝石·4级	1
146086	9821815	物理攻击水晶·1级	1
146086	9821815	物理攻击水晶·3级	3
146086	9821815	物理攻击水晶·4级	1
146086	9821815	血宝石·4级	1
146086	9821817	血宝石·1级	1
146086	9821817	血宝石·3级	1
146086	9821817	血宝石·4级	2
146086	9821817	法术攻击水晶·3级	2
146086	9821821	血宝石·4级	2
146086	9821821	法术攻击水晶·1级	1
146086	9821821	法术攻击水晶·3级	3
146086	9821822	圣灵珠·5级	10
146086	9821822	物理防御水晶·6级	10
146086	9821822	血宝石·6级	10
146086	9821822	黑玛瑙·5级	6
146086	9821822	毒灵珠·5级	10
146086	9821822	法术防御水晶·5级	1
146086	9821822	法术防御水晶·6级	9
