gateway_id	cutting_type	cutting_level	player_count
146086	0	1	114
146086	0	2	1
146086	0	9	1
146086	0	11	1
146086	0	20	5
146086	0	33	1
146086	0	36	1
146086	0	38	1
146086	0	40	3
146086	0	41	2
146086	0	45	2
146086	0	46	3
146086	0	50	2
146086	0	52	1
146086	1	1	100
146086	1	5	1
146086	1	6	1
146086	1	7	1
146086	1	8	2
146086	1	11	1
146086	1	16	1
146086	1	18	1
146086	1	19	1
146086	1	20	1
146086	1	21	1
146086	1	25	1
146086	1	26	1
146086	1	28	1
146086	1	30	4
146086	1	32	1
146086	1	34	1
146086	1	36	2
146086	1	40	1
146086	1	41	2
146086	1	42	2
146086	1	43	2
146086	1	44	1
146086	1	45	1
146086	1	46	2
146086	1	48	1
146086	1	50	1
146086	1	51	1
146086	1	53	1
146086	1	54	1
146086	2	1	92
146086	2	2	1
146086	2	6	1
146086	2	9	1
146086	2	11	1
146086	2	13	3
146086	2	15	1
146086	2	19	1
146086	2	20	3
146086	2	21	3
146086	2	22	2
146086	2	23	2
146086	2	24	3
146086	2	25	1
146086	2	26	1
146086	2	27	1
146086	2	28	1
146086	2	29	1
146086	2	30	1
146086	2	31	1
146086	2	32	1
146086	2	34	2
146086	2	35	3
146086	2	36	1
146086	2	38	2
146086	2	40	2
146086	2	41	2
146086	2	45	1
146086	2	46	2
146086	2	49	1
146086	3	1	94
146086	3	2	1
146086	3	6	1
146086	3	7	1
146086	3	9	2
146086	3	10	2
146086	3	14	1
146086	3	17	1
146086	3	19	1
146086	3	20	4
146086	3	21	3
146086	3	22	2
146086	3	23	3
146086	3	24	1
146086	3	25	2
146086	3	28	1
146086	3	29	2
146086	3	30	1
146086	3	31	2
146086	3	32	2
146086	3	33	1
146086	3	36	1
146086	3	37	3
146086	3	38	1
146086	3	39	1
146086	3	42	2
146086	3	43	1
146086	3	46	1
146086	4	1	130
146086	4	6	1
146086	4	7	2
146086	4	10	3
146086	4	12	1
146086	4	21	1
146086	5	1	128
146086	5	6	1
146086	5	10	3
146086	5	11	1
146086	5	12	1
146086	5	15	1
146086	5	20	1
146086	5	21	1
146086	5	48	1
146086	6	1	126
146086	6	6	2
146086	6	9	1
146086	6	10	2
146086	6	12	1
146086	6	13	2
146086	6	20	1
146086	6	21	1
146086	6	23	1
146086	6	25	1
146086	7	1	121
146086	7	2	1
146086	7	4	2
146086	7	6	1
146086	7	10	4
146086	7	12	1
146086	7	13	1
146086	7	15	1
146086	7	20	1
146086	7	22	1
146086	7	23	1
146086	7	29	1
146086	7	32	1
146086	7	46	1
146086	8	1	82
146086	8	5	1
146086	8	6	1
146086	8	9	1
146086	8	12	1
146086	8	14	3
146086	8	15	1
146086	8	18	1
146086	8	19	1
146086	8	20	4
146086	8	21	2
146086	8	25	3
146086	8	26	1
146086	8	27	2
146086	8	30	2
146086	8	31	2
146086	8	32	3
146086	8	33	1
146086	8	34	1
146086	8	35	1
146086	8	37	1
146086	8	38	2
146086	8	39	2
146086	8	40	4
146086	8	41	7
146086	8	42	1
146086	8	43	2
146086	8	44	1
146086	8	45	1
146086	8	48	1
146086	8	49	1
146086	8	50	1
146086	9	1	124
146086	9	3	3
146086	9	5	1
146086	9	6	1
146086	9	7	1
146086	9	8	1
146086	9	10	1
146086	9	12	1
146086	9	15	1
146086	9	16	1
146086	9	20	2
146086	9	21	1
146086	10	1	124
146086	10	2	2
146086	10	5	1
146086	10	9	1
146086	10	10	2
146086	10	15	1
146086	10	22	1
146086	10	23	4
146086	10	26	1
146086	10	31	1
146086	11	1	135
146086	11	2	1
146086	11	4	1
146086	11	6	1
146086	12	1	136
146086	12	2	1
146086	12	6	1
146086	13	1	130
146086	13	2	1
146086	13	3	1
146086	13	4	2
146086	13	5	1
146086	13	7	1
146086	13	14	1
146086	13	22	1
146086	14	1	138
146086	15	1	138
146086	16	1	125
146086	16	3	3
146086	16	4	1
146086	16	7	1
146086	16	8	2
146086	16	9	1
146086	16	11	2
146086	16	16	1
146086	16	17	1
146086	16	25	1
146086	17	1	120
146086	17	2	2
146086	17	3	2
146086	17	4	2
146086	17	5	2
146086	17	7	2
146086	17	8	2
146086	17	10	2
146086	17	12	1
146086	17	15	1
146086	17	25	1
146086	17	42	1
146086	18	1	122
146086	18	2	3
146086	18	4	2
146086	18	5	7
146086	18	6	1
146086	18	7	1
146086	18	8	1
146086	18	12	1
146086	19	1	125
146086	19	2	2
146086	19	3	1
146086	19	5	7
146086	19	6	2
146086	19	39	1
146086	20	1	125
146086	20	2	3
146086	20	5	9
146086	20	6	1
146086	21	1	134
146086	21	2	2
146086	21	3	1
146086	21	5	1
146086	22	1	129
146086	22	2	3
146086	22	4	1
146086	22	5	4
146086	22	6	1
146086	23	1	137
146086	23	2	1
146090	0	1	93
146090	0	10	1
146090	0	19	1
146090	0	20	1
146090	0	31	1
146090	0	33	1
146090	0	37	1
146090	0	40	2
146090	0	41	1
146090	0	46	1
146090	0	48	2
146090	0	51	1
146090	1	1	90
146090	1	8	1
146090	1	12	2
146090	1	20	1
146090	1	32	1
146090	1	37	2
146090	1	40	2
146090	1	41	2
146090	1	43	2
146090	1	44	1
146090	1	52	1
146090	1	62	1
146090	2	1	81
146090	2	2	1
146090	2	3	1
146090	2	10	1
146090	2	11	1
146090	2	15	1
146090	2	20	1
146090	2	23	1
146090	2	24	1
146090	2	26	1
146090	2	27	1
146090	2	28	1
146090	2	30	2
146090	2	31	4
146090	2	32	2
146090	2	33	1
146090	2	36	1
146090	2	37	1
146090	2	40	1
146090	2	44	1
146090	2	50	1
146090	3	1	84
146090	3	4	1
146090	3	6	1
146090	3	12	1
146090	3	21	1
146090	3	23	1
146090	3	24	1
146090	3	26	1
146090	3	29	2
146090	3	30	4
146090	3	31	1
146090	3	32	2
146090	3	35	1
146090	3	38	1
146090	3	39	1
146090	3	42	1
146090	3	44	1
146090	3	45	1
146090	4	1	106
146090	5	1	104
146090	5	2	1
146090	5	20	1
146090	6	1	102
146090	6	4	1
146090	6	10	1
146090	6	17	1
146090	6	28	1
146090	7	1	102
146090	7	2	1
146090	7	3	1
146090	7	11	1
146090	7	19	1
146090	8	1	77
146090	8	2	1
146090	8	10	1
146090	8	14	1
146090	8	15	1
146090	8	20	2
146090	8	21	2
146090	8	22	1
146090	8	25	1
146090	8	30	1
146090	8	32	1
146090	8	33	1
146090	8	34	1
146090	8	35	2
146090	8	36	1
146090	8	37	1
146090	8	38	1
146090	8	39	1
146090	8	40	4
146090	8	41	1
146090	8	42	1
146090	8	43	1
146090	8	49	1
146090	8	51	1
146090	9	1	103
146090	9	2	1
146090	9	4	1
146090	9	12	1
146090	10	1	100
146090	10	2	1
146090	10	4	1
146090	10	23	1
146090	10	24	1
146090	10	30	1
146090	10	31	1
146090	11	1	104
146090	11	5	2
146090	12	1	106
146090	13	1	99
146090	13	3	1
146090	13	5	1
146090	13	6	2
146090	13	8	1
146090	13	17	1
146090	13	18	1
146090	14	1	106
146090	15	1	106
146090	16	1	100
146090	16	4	1
146090	16	5	1
146090	16	7	1
146090	16	11	1
146090	16	14	1
146090	16	28	1
146090	17	1	99
146090	17	5	1
146090	17	9	2
146090	17	13	1
146090	17	21	1
146090	17	26	1
146090	17	45	1
146090	18	1	101
146090	18	5	3
146090	18	6	1
146090	18	7	1
146090	19	1	98
146090	19	5	6
146090	19	13	1
146090	19	24	1
146090	20	1	101
146090	20	5	5
146090	21	1	106
146090	22	1	102
146090	22	5	4
146090	23	1	106
146098	0	1	66
146098	0	2	1
146098	0	3	1
146098	0	5	1
146098	0	13	1
146098	0	17	1
146098	0	20	1
146098	0	30	1
146098	0	33	1
146098	0	36	1
146098	0	41	1
146098	0	42	1
146098	0	43	1
146098	1	1	57
146098	1	2	1
146098	1	3	1
146098	1	6	1
146098	1	7	1
146098	1	8	2
146098	1	9	1
146098	1	13	1
146098	1	20	2
146098	1	27	1
146098	1	30	2
146098	1	33	2
146098	1	37	1
146098	1	39	1
146098	1	40	2
146098	1	45	1
146098	1	49	1
146098	2	1	56
146098	2	4	2
146098	2	10	2
146098	2	14	1
146098	2	15	1
146098	2	20	4
146098	2	22	1
146098	2	24	1
146098	2	25	1
146098	2	26	1
146098	2	28	1
146098	2	30	2
146098	2	31	1
146098	2	32	1
146098	2	33	1
146098	2	39	1
146098	2	40	1
146098	3	1	59
146098	3	4	1
146098	3	7	1
146098	3	12	2
146098	3	14	1
146098	3	18	1
146098	3	19	1
146098	3	20	2
146098	3	21	3
146098	3	22	1
146098	3	24	1
146098	3	25	1
146098	3	27	1
146098	3	32	1
146098	3	33	1
146098	3	40	1
146098	4	1	75
146098	4	3	1
146098	4	7	1
146098	4	15	1
146098	5	1	74
146098	5	4	2
146098	5	11	2
146098	6	1	74
146098	6	2	1
146098	6	5	1
146098	6	10	1
146098	6	11	1
146098	7	1	74
146098	7	4	1
146098	7	8	1
146098	7	11	1
146098	7	17	1
146098	8	1	51
146098	8	4	1
146098	8	5	3
146098	8	13	1
146098	8	16	1
146098	8	18	2
146098	8	20	2
146098	8	23	2
146098	8	27	2
146098	8	30	1
146098	8	31	1
146098	8	32	1
146098	8	34	1
146098	8	36	1
146098	8	37	4
146098	8	40	1
146098	8	41	2
146098	8	42	1
146098	9	1	72
146098	9	2	1
146098	9	3	1
146098	9	5	2
146098	9	8	1
146098	9	11	1
146098	10	1	72
146098	10	3	2
146098	10	4	1
146098	10	5	1
146098	10	6	1
146098	10	15	1
146098	11	1	76
146098	11	3	2
146098	12	1	75
146098	12	3	1
146098	12	6	1
146098	12	10	1
146098	13	1	70
146098	13	2	1
146098	13	3	2
146098	13	6	1
146098	13	15	1
146098	13	16	1
146098	13	24	2
146098	14	1	78
146098	15	1	78
146098	16	1	71
146098	16	2	1
146098	16	3	1
146098	16	4	1
146098	16	5	1
146098	16	9	1
146098	16	19	1
146098	16	20	1
146098	17	1	69
146098	17	2	1
146098	17	3	2
146098	17	7	1
146098	17	8	1
146098	17	13	1
146098	17	18	2
146098	17	27	1
146098	18	1	71
146098	18	5	5
146098	18	6	1
146098	18	7	1
146098	19	1	72
146098	19	2	1
146098	19	5	5
146098	20	1	74
146098	20	2	1
146098	20	5	1
146098	20	6	1
146098	20	7	1
146098	21	1	77
146098	21	2	1
146098	22	1	75
146098	22	2	2
146098	22	12	1
146098	23	1	76
146098	23	3	1
146098	23	6	1
146102	0	1	103
146102	0	2	1
146102	0	11	1
146102	0	13	1
146102	0	14	1
146102	0	16	1
146102	0	18	1
146102	0	20	4
146102	0	23	1
146102	0	26	1
146102	0	32	1
146102	0	35	1
146102	0	40	2
146102	0	43	1
146102	0	45	1
146102	1	1	86
146102	1	2	1
146102	1	10	1
146102	1	14	1
146102	1	16	1
146102	1	17	1
146102	1	20	4
