gateway_id	sheet_id	count	player_count
1	圣灵珠·1级	1	2
1	圣灵珠·1级	2	2
1	圣灵珠·1级	4	1
1	圣灵珠·2级	1	11
1	圣灵珠·2级	2	7
1	圣灵珠·2级	3	2
1	圣灵珠·2级	4	3
1	圣灵珠·2级	5	2
1	圣灵珠·2级	6	2
1	圣灵珠·2级	8	1
1	圣灵珠·3级	1	13
1	圣灵珠·3级	2	7
1	圣灵珠·3级	3	7
1	圣灵珠·3级	4	5
1	圣灵珠·3级	5	5
1	圣灵珠·3级	6	3
1	圣灵珠·3级	7	2
1	圣灵珠·3级	8	1
1	圣灵珠·3级	9	2
1	圣灵珠·3级	10	1
1	圣灵珠·4级	1	25
1	圣灵珠·4级	2	16
1	圣灵珠·4级	3	12
1	圣灵珠·4级	4	5
1	圣灵珠·4级	5	7
1	圣灵珠·4级	6	6
1	圣灵珠·4级	7	5
1	圣灵珠·4级	8	3
1	圣灵珠·4级	9	6
1	圣灵珠·4级	10	4
1	圣灵珠·5级	1	6
1	圣灵珠·5级	2	7
1	圣灵珠·5级	3	6
1	圣灵珠·5级	4	5
1	圣灵珠·5级	5	3
1	圣灵珠·5级	6	3
1	圣灵珠·5级	7	8
1	圣灵珠·5级	8	12
1	圣灵珠·5级	9	18
1	圣灵珠·5级	10	13
1	圣灵珠·6级	1	4
1	圣灵珠·6级	3	1
1	圣灵珠·6级	5	2
1	火灵珠·1级	1	2
1	火灵珠·1级	2	1
1	火灵珠·2级	1	7
1	火灵珠·2级	2	3
1	火灵珠·2级	3	2
1	火灵珠·2级	4	1
1	火灵珠·3级	1	3
1	火灵珠·3级	2	4
1	火灵珠·3级	4	2
1	火灵珠·3级	5	3
1	火灵珠·3级	6	2
1	火灵珠·3级	7	1
1	火灵珠·4级	1	5
1	火灵珠·4级	2	3
1	火灵珠·4级	3	3
1	火灵珠·4级	4	2
1	火灵珠·4级	5	1
1	火灵珠·4级	6	3
1	火灵珠·4级	7	1
1	火灵珠·4级	8	1
1	火灵珠·4级	9	2
1	火灵珠·5级	1	2
1	火灵珠·5级	2	4
1	火灵珠·5级	4	2
1	火灵珠·5级	7	1
1	火灵珠·5级	8	1
1	火灵珠·5级	9	1
1	紫玛瑙·1级	1	1
1	紫玛瑙·2级	1	2
1	紫玛瑙·2级	2	1
1	紫玛瑙·2级	3	1
1	紫玛瑙·3级	1	4
1	紫玛瑙·3级	2	1
1	紫玛瑙·3级	3	2
1	紫玛瑙·3级	4	1
1	紫玛瑙·3级	5	2
1	紫玛瑙·4级	1	5
1	紫玛瑙·4级	5	2
1	紫玛瑙·4级	8	1
1	紫玛瑙·5级	2	1
1	紫玛瑙·5级	10	2
1	物理命中眼石·1级	1	1
1	物理命中眼石·3级	1	2
1	物理命中眼石·3级	2	1
1	物理命中眼石·4级	1	2
1	物理命中眼石·4级	2	2
1	物理命中眼石·4级	3	2
1	物理命中眼石·4级	4	1
1	物理命中眼石·5级	1	6
1	物理命中眼石·5级	2	2
1	物理命中眼石·5级	4	1
1	物理命中眼石·5级	7	1
1	物理命中眼石·5级	8	1
1	物理命中眼石·6级	2	3
1	物理防御水晶·1级	1	2
1	物理防御水晶·1级	4	1
1	物理防御水晶·2级	1	2
1	物理防御水晶·2级	2	1
1	物理防御水晶·2级	3	1
1	物理防御水晶·2级	4	1
1	物理防御水晶·3级	1	9
1	物理防御水晶·3级	2	3
1	物理防御水晶·3级	3	1
1	物理防御水晶·3级	4	4
1	物理防御水晶·3级	7	1
1	物理防御水晶·3级	8	1
1	物理防御水晶·3级	9	1
1	物理防御水晶·3级	10	1
1	物理防御水晶·4级	1	11
1	物理防御水晶·4级	2	4
1	物理防御水晶·4级	3	8
1	物理防御水晶·4级	4	2
1	物理防御水晶·4级	5	6
1	物理防御水晶·4级	6	6
1	物理防御水晶·4级	8	5
1	物理防御水晶·4级	9	7
1	物理防御水晶·4级	10	8
1	物理防御水晶·5级	1	12
1	物理防御水晶·5级	2	10
1	物理防御水晶·5级	3	3
1	物理防御水晶·5级	4	2
1	物理防御水晶·5级	5	5
1	物理防御水晶·5级	6	6
1	物理防御水晶·5级	7	8
1	物理防御水晶·5级	8	5
1	物理防御水晶·5级	9	14
1	物理防御水晶·5级	10	30
1	物理防御水晶·6级	1	8
1	物理防御水晶·6级	2	3
1	物理防御水晶·6级	3	6
1	物理防御水晶·6级	5	3
1	物理防御水晶·6级	6	1
1	物理防御水晶·6级	8	6
1	物理防御水晶·6级	10	13
1	物理防御水晶·7级	2	1
1	物理闪避石·1级	1	3
1	物理闪避石·2级	1	2
1	物理闪避石·3级	1	3
1	物理闪避石·4级	1	1
1	物理闪避石·4级	3	2
1	物理闪避石·5级	1	1
1	物理攻击水晶·1级	1	4
1	物理攻击水晶·1级	3	1
1	物理攻击水晶·2级	1	1
1	物理攻击水晶·2级	2	1
1	物理攻击水晶·2级	3	1
1	物理攻击水晶·3级	1	10
1	物理攻击水晶·3级	2	2
1	物理攻击水晶·3级	3	1
1	物理攻击水晶·3级	4	1
1	物理攻击水晶·3级	6	2
1	物理攻击水晶·4级	1	6
1	物理攻击水晶·4级	2	1
1	物理攻击水晶·4级	3	3
1	物理攻击水晶·4级	4	2
1	物理攻击水晶·4级	5	2
1	物理攻击水晶·4级	6	3
1	物理攻击水晶·4级	7	2
1	物理攻击水晶·4级	8	2
1	物理攻击水晶·4级	9	2
1	物理攻击水晶·4级	10	2
1	物理攻击水晶·5级	1	6
1	物理攻击水晶·5级	2	6
1	物理攻击水晶·5级	3	2
1	物理攻击水晶·5级	4	3
1	物理攻击水晶·5级	5	4
1	物理攻击水晶·5级	6	3
1	物理攻击水晶·5级	7	6
1	物理攻击水晶·5级	9	2
1	物理攻击水晶·5级	10	4
1	物理攻击水晶·6级	1	2
1	物理攻击水晶·6级	2	1
1	物理攻击水晶·6级	3	2
1	物理攻击水晶·6级	4	4
1	物理攻击水晶·6级	5	1
1	物理攻击水晶·6级	6	1
1	物理攻击水晶·6级	7	2
